,DIVERSIDADE (DI),DI RELATIVO,FRAC Its,VELOC FOBJ,VELOC X,NP,Fo,CRo,fmin,fmax,AD_fmin,AD_fmax,DELTA FOBJ,DELTA VX,r_fitness,F,CR
0,19.47976136169521,1.0810767689394458,0.2,2.0,2.0,100.0,0.7985578191268431,0.5318547502148676,0.14635324581079848,231.984278466792,0.11721464174762555,0.017040125356198713,2.0,2.0,0.999369124292482,0.6185028820042524,0.9661385841475161
1,19.667581878932904,1.091500325683582,0.3,2.0,2.0,100.0,0.6185028820042524,0.9661385841475161,0.004995153184503306,90.5684051251502,0.004000629352306892,0.0066525929551923,0.0,0.0,0.9999448466252928,0.6279842630299128,0.9444410531462418
2,19.957668417102614,1.1075993841666092,0.4,0.0,0.0,100.0,0.6279842630299128,0.9444410531462418,0.004995153184503306,84.8740648933521,0.004000629352306892,0.006234322061957717,-2.0,-2.0,0.999941146294916,0.8947929587961396,0.5710469765531292
3,20.61740406280165,1.1442130195681686,0.5,0.0,0.0,100.0,0.8947929587961396,0.5710469765531292,0.004995153184503306,3.5585975362126496,0.004000629352306892,0.0002613924896553012,0.0,0.0,0.9985963141002396,0.9015444257688364,0.8525540438376379
4,19.455278209209997,1.0797180168022549,0.6,2.0,2.0,100.0,0.9015444257688364,0.8525540438376379,3.0050430954096307e-05,0.14492591462779236,2.4067457329916384e-05,1.0645358249881772e-05,2.0,2.0,0.9997926497063602,0.6072768936021853,0.9623155489892616
5,19.2746281021333,1.069692399422205,0.7,0.0,0.0,100.0,0.6072768936021853,0.9623155489892616,3.0050430954096307e-05,0.00806969216454315,2.4067457329916384e-05,5.927495043136461e-07,-2.0,-2.0,0.9962761366429648,0.5898711983969553,0.737669644853638
6,21.15466381497211,1.1740295571618864,0.8,2.0,2.0,100.0,0.5898711983969553,0.737669644853638,1.7951920594739336e-07,0.0006500262146372037,1.4377733336467862e-07,4.7746891536957584e-08,2.0,2.0,0.99972382774432,0.7449102565454045,0.925581690527239
7,20.464333163775876,1.1357179774644781,0.9,2.0,2.0,100.0,0.7449102565454045,0.925581690527239,1.578060259047963e-10,9.357415332474724e-07,1.2638719892799556e-10,6.873376563671331e-11,0.0,0.0,0.9998313572495204,0.5851481944956566,0.9823319210595344
8,20.060092720983466,1.1132836702029931,1.0,2.0,2.0,100.0,0.5851481944956566,0.9823319210595344,2.5513356959124156e-11,4.7771597525533055e-09,2.0433704624556912e-11,3.509005074313614e-13,0.0,0.0,0.9946593042140808,0.5563835042078028,0.959422265537258
9,2.5468135667999494,0.2735666111764664,0.2,2.0,2.0,100.0,0.30535963695252183,0.12093915561185226,1.70452083478242,23.31323985574665,0.15490264027821346,0.2638833994077953,2.0,2.0,0.9268861451548848,0.15445753878433294,0.4340053769475705
