,F,CR
0,0.2423565070343865,0.32823767135625764
1,0.4337789709422902,0.2130133597423797
2,0.20143151370336135,0.13694833460365505
3,0.36593228327702493,0.21150835426806866
4,0.6679330702201964,0.13392789306969566
5,0.29948887635758076,0.08467649668700605
6,0.13224209422039174,0.13196330000935466
7,0.24389841958624148,0.082442886544908
8,0.4501042687341552,0.12891088048828178
9,0.1924056000909662,0.07970722616039645
10,0.35803855120023886,0.12545136627357031
11,0.15165849360466624,0.07724303766353573
12,0.2826637434412589,0.04758797895093742
13,0.11953255947039049,0.06131999009346383
14,0.22369684613239887,0.037570615196941555
15,0.41842446112029036,0.04847232796494088
16,0.17493908094616192,0.02966797289948229
17,0.3287401574745349,0.018075451927988633
18,0.13404465353785852,0.023428021642985384
19,0.2529101792868804,0.014194666981423016
20,0.10356819641360288,0.018385600931192906
21,0.19549066043836671,0.01113305387655258
22,0.369032533814596,0.014427415905243208
23,0.1505966465553437,0.018697317750405947
24,0.28453068277862936,0.011306841150558695
25,0.11581383993063302,0.014659123798736684
26,0.2199375195596754,0.008801593545486782
27,0.08769465619230911,0.01144768125026125
28,0.16686604716058842,0.006854324724347063
29,0.31825123948178097,0.004090582231401133
30,0.12549325104388587,0.005329371440437061
31,0.24029167563740048,0.0031626203191290232
32,0.0938405757050439,0.004126384925572959
33,0.18001026416963353,0.0024423500570969568
34,0.34618045334819436,0.0014403188725600586
35,0.1334291064837082,0.0018829056464344318
36,0.25663778230035095,0.001110159670858781
37,0.09844047797436724,0.0014523233728029907
38,0.18996351536967196,0.000852204175703628
39,0.3674897453470898,0.001117673739142811
40,0.13766776585022136,0.001467161030167572
41,0.26735055343881015,0.0008529107861239846
42,0.09895371064678038,0.0011215234404071558
43,0.1925553223197483,0.0006500284538906175
44,0.3751846222116045,0.0008555351796351247
45,0.13746381903177163,0.0011265730873891886
46,0.2682427330156809,0.0006502230810788643
47,0.09835090550939049,0.0008561328298525643
48,0.19189917012169044,0.0004942099777705119
49,0.3746720058516495,0.0006511120964297988
50,0.13576875675305078,0.0008586973882784642
51,0.2663182003868674,0.0004917254903068186
52,0.0954162997774608,0.0006495007019698809
53,0.1871756155244121,0.00037189735220948954
54,0.36777889356503224,0.0002124134229582675
55,0.13079230813912873,0.0002808501014712051
56,0.2570156134165377,0.0001603882839715199
57,0.0917457810542791,0.00021195586084453219
58,0.18032036410583832,0.00012100937427696575
59,0.35444038574962444,6.907673027863238e-05
60,0.12638270741723356,9.129976039527642e-05
61,0.24834447412482208,5.214151968218183e-05
62,0.08812867807232823,6.896068812292743e-05
63,0.17339741113986598,3.930611868435323e-05
64,0.3412743515112043,2.239290719911792e-05
65,0.1208776626202483,2.9623633123105223e-05
66,0.23867572101391688,1.6793006084073644e-05
67,0.0833856208777227,2.2256041002969854e-05
68,0.16483418446237705,1.2594249588349854e-05
69,0.3259204260985394,7.1240780836220656e-06
70,0.1131109500819853,9.449908566579057e-06
71,0.2240185604945426,5.331762123337952e-06
72,0.07793264037392397,7.070223824753676e-06
73,0.15397627755153573,4.0040686156487075e-06
74,0.3044414114386714,2.2650627262650466e-06
75,0.10618648065117434,3.002577133229156e-06
76,0.2099108390059541,1.699040668595065e-06
77,0.07296034390447036,2.253286609070416e-06
78,0.14424110384656016,1.274880025338213e-06
79,0.2846341711203512,7.233826831482797e-07
80,0.0996415839493186,9.584571184200387e-07
81,0.1967818236404103,5.43169754219378e-07
82,0.38836839047089333,7.194462457704295e-07
83,0.13644965608256818,9.527839634399392e-07
84,0.26936161774903694,5.40303348453509e-07
85,0.0941503171765126,7.160285560338076e-07
86,0.18577451127447478,4.063321218153784e-07
87,0.3664743082049462,2.3067321529202247e-07
88,0.12847441454064745,3.055764206212225e-07
89,0.2539931506260076,1.7288915892098527e-07
90,0.08783683033008696,2.2943916114460054e-07
91,0.17419339369329537,1.291846962189903e-07
92,0.34534696103792434,7.277122474360878e-08
93,0.1185434613458079,9.66671472661752e-08
94,0.2354026915076805,5.4314379079450735e-08
95,0.08024466139382125,7.221415756297336e-08
96,0.15966684967759864,4.044793816401208e-08
97,0.3179235385622916,2.2629846503575482e-08
98,0.10708771621897384,3.0133509677841454e-08
99,0.21329368576633895,1.685111226384387e-08
